Noise Level,Repetition,Time,abs_alpha_bruit,abs_beta_bruit,abs_alpha_corrige,abs_beta_corrige
0.01,0,8.94839e-05,0.614051,0.385949,0.673919,0.326081
0.01,0,8.97188e-05,0.643136,0.356864,0.704585,0.295415
0.01,0,8.99537e-05,0.668274,0.331726,0.729794,0.270206
0.01,0,9.01885e-05,0.705062,0.294938,0.768476,0.231524
0.01,0,9.04234e-05,0.734105,0.265895,0.78835,0.21165
0.01,0,9.06583e-05,0.761924,0.238076,0.813151,0.186849
0.01,0,9.08931e-05,0.791097,0.208903,0.839162,0.160838
0.01,0,9.1128e-05,0.814467,0.185533,0.857912,0.142088
0.01,0,9.13629e-05,0.834362,0.165638,0.877007,0.122993
0.01,0,9.15977e-05,0.861914,0.138086,0.904256,0.0957436
0.01,0,9.18326e-05,0.876282,0.123718,0.912644,0.0873558
0.01,0,9.20675e-05,0.890998,0.109002,0.930193,0.0698068
0.01,0,9.23023e-05,0.909682,0.0903183,0.949095,0.0509053
0.01,0,9.25372e-05,0.929243,0.0707567,0.963738,0.0362624
