Temps theta phi abs_alpha2 abs_beta2
1.32447e-07 0.0819198 2.11128 0.998323 0.00167678
1.32804e-07 0.000149927 2.42302 1 5.61953e-09
1.33161e-07 0.00156388 -0.351277 0.999999 6.11427e-07
1.33518e-07 0.0162004 -3.13013 0.999934 6.56115e-05
1.33875e-07 0.0382116 0.757142 0.999635 0.000364986
1.34232e-07 0.0434212 1.18444 0.999529 0.000471275
1.34589e-07 0.0209936 1.54279 0.99989 0.000110179
1.34946e-07 0.0405319 -1.46111 0.999589 0.000410653
1.35303e-07 0.0337357 -1.10297 0.999716 0.000284497
1.3566e-07 0.0704372 2.45104 0.99876 0.00123984
1.36017e-07 0.0629341 -0.27691 0.99901 0.00098985
1.36374e-07 0.00407801 -3.09697 0.999996 4.15754e-06
1.36731e-07 0.0605079 0.247754 0.999085 0.000915021
1.37088e-07 0.092162 0.88974 0.997878 0.00212196
1.37445e-07 0.00308093 -1.66543 0.999998 2.37302e-06
1.37802e-07 0.00613478 -1.4783 0.999991 9.40884e-06
1.38159e-07 0.00843895 -1.41278 0.999982 1.78039e-05
1.38516e-07 0.0272884 -1.14048 0.999814 0.000186153
1.38873e-07 0.0410717 2.36519 0.999578 0.000421662
1.3923e-07 0.0471564 2.89646 0.999444 0.000555829
1.39587e-07 0.0576141 0.151157 0.99917 0.000829616
1.39944e-07 0.0785128 -2.5457 0.99846 0.00154027
1.40301e-07 0.00505219 -1.95709 0.999994 6.38114e-06
1.40658e-07 0.0800384 1.49418 0.998399 0.00160068
1.41015e-07 0.0789191 1.93386 0.998444 0.00155625
1.41372e-07 0.0762306 2.12708 0.998548 0.00145207
1.41729e-07 0.106479 -0.717803 0.997168 0.00283179
1.42086e-07 0.128258 2.85201 0.995893 0.00410691
1.42443e-07 0.0571691 0.0594722 0.999183 0.000816853
1.428e-07 0.061589 0.392058 0.999052 0.000948003
1.43157e-07 0.00107684 -2.43879 1 2.89897e-07
1.43514e-07 0.0305281 0.983171 0.999767 0.000232973
1.43871e-07 0.120919 -1.73974 0.996349 0.00365092
1.44228e-07 0.018425 -1.39473 0.999915 8.48681e-05
1.44585e-07 0.0894615 2.05224 0.998 0.00199951
1.44942e-07 0.0603966 2.40193 0.999088 0.000911659
1.45299e-07 0.0334989 -0.509762 0.999719 0.000280518
1.45656e-07 0.0687647 -0.175234 0.998818 0.00118168
1.46013e-07 0.0202818 -3.03745 0.999897 0.000102834
1.4637e-07 0.0445451 -2.58583 0.999504 0.000495984
1.46727e-07 0.0907211 1.00517 0.997944 0.00205617
1.47084e-07 0.025023 1.14822 0.999843 0.00015653
1.47441e-07 0.0186924 1.34985 0.999913 8.73492e-05
1.47798e-07 0.0869669 -1.42735 0.99811 0.00188962
1.48155e-07 0.0884901 2.0666 0.998044 0.00195635
1.48512e-07 0.054192 -0.772503 0.999266 0.000734013
1.48869e-07 0.0463805 2.56612 0.999462 0.000537692
1.49226e-07 0.0758063 3.06674 0.998564 0.00143596
1.49583e-07 0.0992135 0.164452 0.997541 0.00245881
1.4994e-07 0.0452889 -2.54524 0.999487 0.000512684
1.50297e-07 0.0373519 -2.1029 0.999651 0.000348751
1.50654e-07 0.00790404 -1.61205 0.999984 1.56184e-05
1.51011e-07 0.0229643 1.92393 0.999868 0.000131834
1.51368e-07 0.00117382 2.19172 1 3.44465e-07
1.51725e-07 0.00570919 -0.470897 0.999992 8.14869e-06
1.52082e-07 0.0228126 2.91589 0.99987 0.000130099
1.52439e-07 0.165518 0.282017 0.993167 0.00683343
1.52796e-07 0.0234513 -2.68428 0.999863 0.000137485
1.53153e-07 0.121618 -2.33056 0.996307 0.00369319
1.5351e-07 0.0128938 1.21144 0.999958 4.15618e-05
1.53867e-07 0.0854959 -1.68276 0.998174 0.00182627
1.54224e-07 0.0274993 -1.19974 0.999811 0.000189041
1.54581e-07 0.0733786 2.26529 0.998654 0.0013455
1.54938e-07 0.0802523 -0.419361 0.998391 0.00160924
1.55295e-07 0.0107907 -2.89041 0.999971 2.91096e-05
1.55652e-07 0.0712533 -2.6388 0.998731 0.00126872
1.56009e-07 0.0661549 -2.20662 0.998906 0.00109372
1.56366e-07 0.0922081 1.17865 0.997876 0.00212408
1.56723e-07 0.0104281 -1.66476 0.999973 2.7186e-05
1.5708e-07 0.0673176 -1.25141 0.998868 0.00113249
1.57437e-07 0.0640939 2.40495 0.998973 0.00102666
1.57794e-07 0.0133088 2.81293 0.999956 4.42805e-05
1.58151e-07 0.00336599 0.257022 0.999997 2.83246e-06
1.58508e-07 0.0716934 0.408353 0.998716 0.00128443
1.58865e-07 0.0794341 -2.26537 0.998423 0.00157661
1.59222e-07 0.0175253 -1.83077 0.999923 7.6782e-05
1.59579e-07 0.0363159 -1.42893 0.99967 0.000329675
1.59936e-07 0.11252 -1.04156 0.996838 0.00316184
1.60293e-07 0.135478 2.48133 0.995418 0.00458159
1.6065e-07 0.0621855 2.82617 0.999034 0.000966448
