Temps abs_alpha_bruit abs_beta_bruit abs_alpha_corrige abs_beta_corrige bruit_alpha bruit_beta
6.10469e-08 5.5991e-05 0.999944 0.356815 0.643185 0.0500036 0.16303
6.14039e-08 0.000933565 0.999066 0.416707 0.583293 -0.0131245 0.204453
6.17609e-08 0.00781516 0.992185 0.467942 0.532058 -0.0535378 -0.0976521
6.21179e-08 0.0138304 0.98617 0.470422 0.529578 0.00408882 -0.016237
6.24749e-08 0.0286641 0.971336 0.521253 0.478747 -0.0417102 0.376688
6.28319e-08 0.0389539 0.961046 0.530461 0.469539 0.00238119 -0.00538265
6.31889e-08 0.0456182 0.954382 0.549315 0.450685 0.0272701 -0.0485374
6.35459e-08 0.0691854 0.930815 0.613497 0.386503 -0.0402537 -0.15642
6.39029e-08 0.0747073 0.925293 0.603461 0.396539 0.0414099 0.135642
6.42598e-08 0.058284 0.941716 0.590987 0.409013 0.1281 0.12223
6.46168e-08 0.0786087 0.921391 0.691267 0.308733 -0.0199292 0.0991582
6.49738e-08 0.0688863 0.931114 0.665202 0.334798 0.0967283 0.141494
6.53308e-08 0.0779463 0.922054 0.72808 0.27192 0.0223103 -0.0202901
6.56878e-08 0.0978419 0.902158 0.770088 0.229912 -0.0118837 -0.102156
6.60448e-08 0.130437 0.869563 0.807369 0.192631 -0.0418112 0.0863898
6.64018e-08 0.130542 0.869458 0.791946 0.208054 0.0594824 -0.0948456
6.67588e-08 0.148085 0.851915 0.834845 0.165155 0.0108709 0.0603142
6.71158e-08 0.148846 0.851154 0.839125 0.160875 0.0587673 0.183512
6.74728e-08 0.125966 0.874034 0.837757 0.162243 0.124088 0.0379961
6.78298e-08 0.119582 0.880418 0.875905 0.124095 0.0767114 0.012195
6.81868e-08 0.188859 0.811141 0.950778 0.0492218 -0.135296 0.0773806
6.85438e-08 0.180132 0.819868 0.912869 0.087131 0.0787443 -0.0761698
6.89008e-08 0.234852 0.765148 0.963356 0.0366438 -0.0765507 0.117203
6.92578e-08 0.240255 0.759745 0.951221 0.0487794 0.0434201 0.0229856
6.96148e-08 0.262816 0.737184 0.970153 0.0298466 0.00392164 0.0328405
6.99718e-08 0.304178 0.695822 0.984753 0.0152466 -0.0363978 -0.066271
7.03288e-08 0.409153 0.590847 0.999005 0.000995148 -0.162129 -0.190981
