Time abs_alpha2 abs_beta2
2.40974e-07 0.486992 0.503359
2.41331e-07 0.518076 0.47226
2.41688e-07 0.54907 0.441252
2.42045e-07 0.57985 0.410458
2.42402e-07 0.610295 0.379999
2.42759e-07 0.640285 0.349995
2.43116e-07 0.669702 0.320564
2.43473e-07 0.698429 0.291822
2.4383e-07 0.726354 0.263882
2.44187e-07 0.753367 0.236856
2.44544e-07 0.77936 0.210848
2.44901e-07 0.804232 0.185962
2.45258e-07 0.827884 0.162296
2.45615e-07 0.850222 0.139943
2.45972e-07 0.87116 0.118991
2.46329e-07 0.890614 0.099523
2.46686e-07 0.908508 0.0816151
2.47043e-07 0.924771 0.0653381
2.474e-07 0.939338 0.0507561
2.47757e-07 0.952154 0.0379266
2.48114e-07 0.963166 0.0269
2.48471e-07 0.972332 0.0177197
2.48828e-07 0.979616 0.0104219
2.49185e-07 0.984988 0.00503536
2.49542e-07 0.988428 0.0015811
2.49899e-07 0.989922 7.27105e-05
2.50256e-07 0.989465 0.000516057
2.50613e-07 0.987057 0.00290931
2.5097e-07 0.982709 0.00724294
2.51327e-07 0.976438 0.0134998
2.51684e-07 0.968269 0.0216551
2.52041e-07 0.958233 0.0316766
2.52398e-07 0.946371 0.0435247
2.52755e-07 0.932729 0.0571526
2.53112e-07 0.917361 0.0725065
2.53469e-07 0.900327 0.0895257
2.53826e-07 0.881695 0.108143
2.54183e-07 0.861539 0.128285
2.5454e-07 0.839938 0.149873
2.54897e-07 0.816976 0.17282
2.55254e-07 0.792745 0.197037
2.55611e-07 0.76734 0.222427
2.55968e-07 0.740862 0.248891
2.56325e-07 0.713414 0.276325
2.56682e-07 0.685105 0.304619
2.57039e-07 0.656047 0.333663
2.57396e-07 0.626354 0.363342
2.57753e-07 0.596144 0.393539
2.5811e-07 0.565534 0.424134
2.58467e-07 0.534647 0.455007
2.58824e-07 0.503604 0.486036
2.59181e-07 0.472527 0.517099
2.59538e-07 0.441538 0.548073
2.59895e-07 0.410761 0.578836
2.60252e-07 0.380316 0.609267
2.60609e-07 0.350323 0.639245
2.60966e-07 0.320901 0.668653
2.61323e-07 0.292165 0.697375
2.6168e-07 0.264229 0.725297
2.62037e-07 0.237203 0.752309
2.62394e-07 0.211193 0.778304
2.62751e-07 0.186303 0.80318
2.63108e-07 0.162629 0.82684
2.63465e-07 0.140266 0.849189
2.63822e-07 0.119301 0.87014
2.64179e-07 0.0998166 0.88961
2.64536e-07 0.0818905 0.907522
2.64893e-07 0.0655928 0.923805
2.6525e-07 0.0509877 0.938396
2.65607e-07 0.0381327 0.951237
2.65964e-07 0.0270784 0.962277
2.66321e-07 0.0178685 0.971473
2.66678e-07 0.010539 0.978788
2.67035e-07 0.0051188 0.984194
2.67392e-07 0.00162922 0.987669
2.67749e-07 8.39353e-05 0.9892
2.68106e-07 0.000488938 0.988781
2.68463e-07 0.00284255 0.986413
2.6882e-07 0.00713541 0.982106
2.69177e-07 0.0133505 0.975877
2.69534e-07 0.0214632 0.96775
