Noise Level,Time,abs_alpha_bruit,abs_beta_bruit,abs_alpha_corrige,abs_beta_corrige
0.01,8.69004e-05,0.429274,0.570726,0.367475,0.632525
0.01,8.71353e-05,0.466306,0.533694,0.411484,0.588516
0.01,8.73701e-05,0.49949,0.50051,0.438474,0.561526
0.01,8.7605e-05,0.521859,0.478141,0.458551,0.541449
0.01,8.78399e-05,0.553986,0.446014,0.499578,0.500422
0.01,8.80747e-05,0.598649,0.401351,0.544257,0.455743
0.01,8.83096e-05,0.638416,0.361584,0.571618,0.428382
0.01,8.85445e-05,0.678216,0.321784,0.603169,0.396831
0.01,8.87793e-05,0.700539,0.299461,0.617149,0.382851
0.01,8.90142e-05,0.720684,0.279316,0.645866,0.354134
0.01,8.92491e-05,0.754642,0.245358,0.690694,0.309306
0.01,8.94839e-05,0.777387,0.222613,0.708863,0.291137
0.01,8.97188e-05,0.80744,0.19256,0.746002,0.253998
0.01,8.99537e-05,0.825811,0.174189,0.761378,0.238622
0.01,9.01885e-05,0.85112,0.14888,0.796518,0.203482
0.01,9.04234e-05,0.864489,0.135511,0.809198,0.190802
0.01,9.06583e-05,0.883722,0.116278,0.841545,0.158455
0.01,9.08931e-05,0.899757,0.100243,0.86262,0.13738
0.01,9.1128e-05,0.916077,0.0839235,0.88573,0.11427
0.01,9.13629e-05,0.928356,0.0716439,0.902711,0.097289
0.01,9.15977e-05,0.935287,0.0647132,0.91628,0.0837197
0.01,9.18326e-05,0.941899,0.0581007,0.933853,0.0661471
0.01,9.20675e-05,0.942596,0.0574041,0.943831,0.0561685
0.01,9.23023e-05,0.953062,0.0469382,0.966846,0.033154
0.01,9.25372e-05,0.958738,0.0412625,0.974977,0.0250231
0.01,9.27721e-05,0.962805,0.0371952,0.983695,0.0163053
0.01,9.30069e-05,0.960651,0.039349,0.988172,0.0118284
0.01,9.32418e-05,0.960162,0.0398379,0.99479,0.00521034
0.01,9.34766e-05,0.951801,0.0481987,0.99597,0.00402968
0.01,9.37115e-05,0.949707,0.0502932,0.999168,0.000832129
0.01,9.39464e-05,0.943872,0.0561284,0.998147,0.00185341
