Noise Level,Repetition,Time,abs_alpha_bruit,abs_beta_bruit,abs_alpha_corrige,abs_beta_corrige
0.01,0,8.42518e-08,0.341149,0.658851,0.1844,0.8156
0.01,0,8.46088e-08,0.307208,0.692792,0.161052,0.838948
0.01,0,8.49658e-08,0.270529,0.729471,0.135474,0.864526
0.01,0,8.53228e-08,0.258127,0.741873,0.132367,0.867633
0.01,0,8.56798e-08,0.246774,0.753226,0.11215,0.88785
0.01,0,8.60368e-08,0.218703,0.781297,0.0813951,0.918605
0.01,0,8.63938e-08,0.204159,0.795841,0.072999,0.927001
0.01,0,8.67508e-08,0.182833,0.817167,0.0533057,0.946694
0.01,0,8.71078e-08,0.165036,0.834964,0.0412498,0.95875
0.01,0,8.74648e-08,0.151278,0.848722,0.0312058,0.968794
0.01,0,8.78218e-08,0.126193,0.873807,0.0162247,0.983775
0.01,0,8.81788e-08,0.113905,0.886095,0.0127363,0.987264
0.01,0,8.85358e-08,0.0968414,0.903159,0.00517682,0.994823
0.01,0,8.88928e-08,0.0800887,0.919911,0.00140858,0.998591
0.01,0,8.92498e-08,0.070496,0.929504,0.000269319,0.999731
0.01,0,8.96068e-08,0.0714135,0.928587,6.71e-05,0.999933
0.01,0,8.99638e-08,0.069045,0.930955,0.00098764,0.999012
0.01,0,9.03208e-08,0.0610655,0.938934,0.00220488,0.997795
0.01,0,9.06778e-08,0.0625412,0.937459,0.00855931,0.991441
0.01,0,9.10348e-08,0.0616868,0.938313,0.0131866,0.986813
0.01,0,9.13918e-08,0.0579176,0.942082,0.0185199,0.98148
0.01,0,9.17488e-08,0.0557962,0.944204,0.0278899,0.97211
0.01,0,9.21058e-08,0.0564287,0.943571,0.0404628,0.959537
0.01,0,9.24628e-08,0.0621041,0.937896,0.0572722,0.942728
0.01,0,9.28198e-08,0.0652639,0.934736,0.0678283,0.932172
0.01,0,9.31768e-08,0.0700574,0.929943,0.084845,0.915155
0.01,0,9.35338e-08,0.0849778,0.915022,0.113674,0.886326
0.01,0,9.38908e-08,0.0951671,0.904833,0.128023,0.871977
0.01,0,9.42478e-08,0.104638,0.895362,0.147534,0.852466
0.01,0,9.46048e-08,0.118433,0.881567,0.172431,0.827569
0.01,0,9.49618e-08,0.133325,0.866675,0.196356,0.803644
0.01,0,9.53188e-08,0.149124,0.850876,0.22059,0.77941
0.01,0,9.56758e-08,0.164482,0.835518,0.245294,0.754706
0.01,0,9.60328e-08,0.179169,0.820831,0.271279,0.728721
